filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_printrescangray300/6069_scans-patents_lynn-conway-us5046022-rescan-gray_p011_2479x3230.jpg	6069	scans-patents	lynn-conway-us5046022-rescan-gray_p011	2479	3230	jpg	1439265	page_011.jpg	uspto	PD	lynn-conway	11	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6070_scans-patents_lynn-conway-us5046022-rescan-gray_p012_2479x3230.jpg	6070	scans-patents	lynn-conway-us5046022-rescan-gray_p012	2479	3230	jpg	1571153	page_012.jpg	uspto	PD	lynn-conway	12	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6071_scans-patents_lynn-conway-us5046022-rescan-gray_p013_2479x3230.jpg	6071	scans-patents	lynn-conway-us5046022-rescan-gray_p013	2479	3230	jpg	1369042	page_013.jpg	uspto	PD	lynn-conway	13	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6072_scans-patents_lynn-conway-us5046022-rescan-gray_p014_2479x3230.jpg	6072	scans-patents	lynn-conway-us5046022-rescan-gray_p014	2479	3230	jpg	1600963	page_014.jpg	uspto	PD	lynn-conway	14	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6073_scans-patents_lynn-conway-us5046022-rescan-gray_p015_2479x3230.jpg	6073	scans-patents	lynn-conway-us5046022-rescan-gray_p015	2479	3230	jpg	1433386	page_015.jpg	uspto	PD	lynn-conway	15	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6074_scans-patents_lynn-conway-us5046022-rescan-gray_p016_2479x3230.jpg	6074	scans-patents	lynn-conway-us5046022-rescan-gray_p016	2479	3230	jpg	1564289	page_016.jpg	uspto	PD	lynn-conway	16	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6075_scans-patents_lynn-conway-us5046022-rescan-gray_p017_2479x3230.jpg	6075	scans-patents	lynn-conway-us5046022-rescan-gray_p017	2479	3230	jpg	1409134	page_017.jpg	uspto	PD	lynn-conway	17	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6076_scans-patents_lynn-conway-us5046022-rescan-gray_p018_2479x3230.jpg	6076	scans-patents	lynn-conway-us5046022-rescan-gray_p018	2479	3230	jpg	1494628	page_018.jpg	uspto	PD	lynn-conway	18	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6077_scans-patents_lynn-conway-us5046022-rescan-gray_p019_2479x3230.jpg	6077	scans-patents	lynn-conway-us5046022-rescan-gray_p019	2479	3230	jpg	1439294	page_019.jpg	uspto	PD	lynn-conway	19	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6078_scans-patents_lynn-conway-us5046022-rescan-gray_p020_2479x3230.jpg	6078	scans-patents	lynn-conway-us5046022-rescan-gray_p020	2479	3230	jpg	1558656	page_020.jpg	uspto	PD	lynn-conway	20	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6079_scans-patents_lynn-conway-us5046022-rescan-gray_p021_2479x3230.jpg	6079	scans-patents	lynn-conway-us5046022-rescan-gray_p021	2479	3230	jpg	1426905	page_021.jpg	uspto	PD	lynn-conway	21	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6080_scans-patents_lynn-conway-us5046022-rescan-gray_p022_2479x3230.jpg	6080	scans-patents	lynn-conway-us5046022-rescan-gray_p022	2479	3230	jpg	1458624	page_022.jpg	uspto	PD	lynn-conway	22	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6081_scans-patents_lynn-conway-us5046022-rescan-gray_p023_2479x3230.jpg	6081	scans-patents	lynn-conway-us5046022-rescan-gray_p023	2479	3230	jpg	1333103	page_023.jpg	uspto	PD	lynn-conway	23	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6082_scans-patents_lynn-conway-us5046022-rescan-gray_p024_2479x3230.jpg	6082	scans-patents	lynn-conway-us5046022-rescan-gray_p024	2479	3230	jpg	1402194	page_024.jpg	uspto	PD	lynn-conway	24	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6083_scans-patents_lynn-conway-us5046022-rescan-gray_p025_2479x3230.jpg	6083	scans-patents	lynn-conway-us5046022-rescan-gray_p025	2479	3230	jpg	1241701	page_025.jpg	uspto	PD	lynn-conway	25	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6084_scans-patents_lynn-conway-us5046022-rescan-gray_p026_2479x3230.jpg	6084	scans-patents	lynn-conway-us5046022-rescan-gray_p026	2479	3230	jpg	1430545	page_026.jpg	uspto	PD	lynn-conway	26	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6085_scans-patents_lynn-conway-us5046022-rescan-gray_p027_2479x3230.jpg	6085	scans-patents	lynn-conway-us5046022-rescan-gray_p027	2479	3230	jpg	650174	page_027.jpg	uspto	PD	lynn-conway	27	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6086_scans-patents_lynn-conway-us5046022-rescan-gray_p028_2479x3230.jpg	6086	scans-patents	lynn-conway-us5046022-rescan-gray_p028	2479	3230	jpg	693847	page_028.jpg	uspto	PD	lynn-conway	28	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6087_scans-patents_lynn-conway-us5046022-rescan-gray_p029_2479x3230.jpg	6087	scans-patents	lynn-conway-us5046022-rescan-gray_p029	2479	3230	jpg	392013	page_029.jpg	uspto	PD	lynn-conway	29	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6088_scans-patents_lynn-conway-us5046022-rescan-gray_p030_2479x3230.jpg	6088	scans-patents	lynn-conway-us5046022-rescan-gray_p030	2479	3230	jpg	236165	page_030.jpg	uspto	PD	lynn-conway	30	us5046022	rescan-gray
martha_jones_us77494_1bitoriginal/6089_scans-patents_martha-jones-us77494-1bit_p001_2320x3408.png	6089	scans-patents	martha-jones-us77494-1bit_p001	2320	3408	png	58270	page_001.png	uspto	PD	martha-jones	1	us77494	1bit
martha_jones_us77494_1bitoriginal/6090_scans-patents_martha-jones-us77494-1bit_p002_2320x3408.png	6090	scans-patents	martha-jones-us77494-1bit_p002	2320	3408	png	119901	page_002.png	uspto	PD	martha-jones	2	us77494	1bit
martha_jones_us77494_1bitoriginal/6091_scans-patents_martha-jones-us77494-1bit_p003_2320x3408.png	6091	scans-patents	martha-jones-us77494-1bit_p003	2320	3408	png	47259	page_003.png	uspto	PD	martha-jones	3	us77494	1bit
martha_jones_us77494_printrescancolor300/6092_scans-patents_martha-jones-us77494-rescan-color_p001_2479x3230.jpg	6092	scans-patents	martha-jones-us77494-rescan-color_p001	2479	3230	jpg	550726	page_001.jpg	uspto	PD	martha-jones	1	us77494	rescan-color
martha_jones_us77494_printrescancolor300/6093_scans-patents_martha-jones-us77494-rescan-color_p002_2479x3230.jpg	6093	scans-patents	martha-jones-us77494-rescan-color_p002	2479	3230	jpg	1095764	page_002.jpg	uspto	PD	martha-jones	2	us77494	rescan-color
martha_jones_us77494_printrescancolor300/6094_scans-patents_martha-jones-us77494-rescan-color_p003_2479x3230.jpg	6094	scans-patents	martha-jones-us77494-rescan-color_p003	2479	3230	jpg	523661	page_003.jpg	uspto	PD	martha-jones	3	us77494	rescan-color
martha_jones_us77494_printrescangrayscale300/6095_scans-patents_martha-jones-us77494-rescan-gray_p001_2479x3230.jpg	6095	scans-patents	martha-jones-us77494-rescan-gray_p001	2479	3230	jpg	418828	page_001.jpg	uspto	PD	martha-jones	1	us77494	rescan-gray
martha_jones_us77494_printrescangrayscale300/6096_scans-patents_martha-jones-us77494-rescan-gray_p002_2479x3230.jpg	6096	scans-patents	martha-jones-us77494-rescan-gray_p002	2479	3230	jpg	939933	page_002.jpg	uspto	PD	martha-jones	2	us77494	rescan-gray
martha_jones_us77494_printrescangrayscale300/6097_scans-patents_martha-jones-us77494-rescan-gray_p003_2479x3230.jpg	6097	scans-patents	martha-jones-us77494-rescan-gray_p003	2479	3230	jpg	400837	page_003.jpg	uspto	PD	martha-jones	3	us77494	rescan-gray
yvonne_brill_us3807657_1bitoriginal/6098_scans-patents_yvonne-brill-us3807657-1bit_p001_2320x3408.png	6098	scans-patents	yvonne-brill-us3807657-1bit_p001	2320	3408	png	99115	page_001.png	uspto	PD	yvonne-brill	1	us3807657	1bit
