id	path	sdr_url	sdr_present	hdr_url	stem_differs
6094	6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6094_scans-patents_martha-jones-us77494-rescan-color_p003_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6094_scans-patents_martha-jones-us77494-rescan-color_p003_2479x3230.sdr.png	1		0
6095	6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6095_scans-patents_martha-jones-us77494-rescan-gray_p001_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6095_scans-patents_martha-jones-us77494-rescan-gray_p001_2479x3230.sdr.png	1		0
6096	6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6096_scans-patents_martha-jones-us77494-rescan-gray_p002_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6096_scans-patents_martha-jones-us77494-rescan-gray_p002_2479x3230.sdr.png	1		0
6097	6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6097_scans-patents_martha-jones-us77494-rescan-gray_p003_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescangrayscale300/6097_scans-patents_martha-jones-us77494-rescan-gray_p003_2479x3230.sdr.png	1		0
6098	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6098_scans-patents_yvonne-brill-us3807657-1bit_p001_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6098_scans-patents_yvonne-brill-us3807657-1bit_p001_2320x3408.sdr.png	1		0
6099	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6099_scans-patents_yvonne-brill-us3807657-1bit_p002_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6099_scans-patents_yvonne-brill-us3807657-1bit_p002_2320x3408.sdr.png	1		0
6100	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6100_scans-patents_yvonne-brill-us3807657-1bit_p003_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6100_scans-patents_yvonne-brill-us3807657-1bit_p003_2320x3408.sdr.png	1		0
6101	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6101_scans-patents_yvonne-brill-us3807657-1bit_p004_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6101_scans-patents_yvonne-brill-us3807657-1bit_p004_2320x3408.sdr.png	1		0
6102	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6102_scans-patents_yvonne-brill-us3807657-1bit_p005_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6102_scans-patents_yvonne-brill-us3807657-1bit_p005_2320x3408.sdr.png	1		0
6103	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6103_scans-patents_yvonne-brill-us3807657-1bit_p006_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6103_scans-patents_yvonne-brill-us3807657-1bit_p006_2320x3408.sdr.png	1		0
6104	6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6104_scans-patents_yvonne-brill-us3807657-1bit_p007_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6104_scans-patents_yvonne-brill-us3807657-1bit_p007_2320x3408.sdr.png	1		0
6105	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6105_scans-patents_yvonne-brill-us3807657-rescan-color_p001_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6105_scans-patents_yvonne-brill-us3807657-rescan-color_p001_2479x3230.sdr.png	1		0
6106	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6106_scans-patents_yvonne-brill-us3807657-rescan-color_p002_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6106_scans-patents_yvonne-brill-us3807657-rescan-color_p002_2479x3230.sdr.png	1		0
6107	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6107_scans-patents_yvonne-brill-us3807657-rescan-color_p003_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6107_scans-patents_yvonne-brill-us3807657-rescan-color_p003_2479x3230.sdr.png	1		0
6108	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6108_scans-patents_yvonne-brill-us3807657-rescan-color_p004_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescancolor300/6108_scans-patents_yvonne-brill-us3807657-rescan-color_p004_2479x3230.sdr.png	1		0
6109	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6109_scans-patents_yvonne-brill-us3807657-rescan-gray_p001_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6109_scans-patents_yvonne-brill-us3807657-rescan-gray_p001_2479x3230.sdr.png	1		0
6110	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6110_scans-patents_yvonne-brill-us3807657-rescan-gray_p002_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6110_scans-patents_yvonne-brill-us3807657-rescan-gray_p002_2479x3230.sdr.png	1		0
6111	6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6111_scans-patents_yvonne-brill-us3807657-rescan-gray_p003_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_printrescangray300/6111_scans-patents_yvonne-brill-us3807657-rescan-gray_p003_2479x3230.sdr.png	1		0
